,book_name,away_ml,home_ml,away_spread,away_line,home_spread,home_line,total,over_line,under_line,date,date_full,team,matchup,opp,points,points_opp,gid
99,"Stats, LLC",105,-125,1.5,-110,-1.5,-110,234,-110,-110,2021-10-19,"Tue, 19 Oct 2021 23:30:00 +0000",MIL,MIL vs. BKN,BKN,127,104,nba.g.2021101915
101,BetMGM,100,-120,2,-115,-2,-105,234,-110,-110,2021-10-19,"Tue, 19 Oct 2021 23:30:00 +0000",MIL,MIL vs. BKN,BKN,127,104,nba.g.2021101915
99,"Stats, LLC",105,-125,1.5,-110,-1.5,-110,234,-110,-110,2021-10-19,"Tue, 19 Oct 2021 23:30:00 +0000",BKN,BKN @ MIL,MIL,104,127,nba.g.2021101915
101,BetMGM,100,-120,2,-115,-2,-105,234,-110,-110,2021-10-19,"Tue, 19 Oct 2021 23:30:00 +0000",BKN,BKN @ MIL,MIL,104,127,nba.g.2021101915
99,"Stats, LLC",135,-160,3.5,-110,-3.5,-110,226.5,-110,-110,2021-10-19,"Wed, 20 Oct 2021 02:00:00 +0000",LAL,LAL vs. GS,GS,114,121,nba.g.2021101913
101,BetMGM,135,-160,3.5,-110,-3.5,-110,226.5,-110,-110,2021-10-19,"Wed, 20 Oct 2021 02:00:00 +0000",LAL,LAL vs. GS,GS,114,121,nba.g.2021101913
99,"Stats, LLC",135,-160,3.5,-110,-3.5,-110,226.5,-110,-110,2021-10-19,"Wed, 20 Oct 2021 02:00:00 +0000",GS,GS @ LAL,LAL,121,114,nba.g.2021101913
101,BetMGM,135,-160,3.5,-110,-3.5,-110,226.5,-110,-110,2021-10-19,"Wed, 20 Oct 2021 02:00:00 +0000",GS,GS @ LAL,LAL,121,114,nba.g.2021101913
99,"Stats, LLC",-220,180,-5,-110,5,-110,218,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",DET,DET vs. CHI,CHI,88,94,nba.g.2021102008
101,BetMGM,-225,175,-5,-110,5,-110,218,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",DET,DET vs. CHI,CHI,88,94,nba.g.2021102008
99,"Stats, LLC",-220,180,-5,-110,5,-110,218,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",CHI,CHI @ DET,DET,94,88,nba.g.2021102008
101,BetMGM,-225,175,-5,-110,5,-110,218,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",CHI,CHI @ DET,DET,94,88,nba.g.2021102008
99,"Stats, LLC",-125,105,-1.5,-110,1.5,-110,223,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",CHA,CHA vs. IND,IND,123,122,nba.g.2021102030
101,BetMGM,-125,105,-1.5,-110,1.5,-110,223,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",CHA,CHA vs. IND,IND,123,122,nba.g.2021102030
99,"Stats, LLC",-125,105,-1.5,-110,1.5,-110,223,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",IND,IND @ CHA,CHA,122,123,nba.g.2021102030
101,BetMGM,-125,105,-1.5,-110,1.5,-110,223,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:00:00 +0000",IND,IND @ CHA,CHA,122,123,nba.g.2021102030
99,"Stats, LLC",120,-140,2.5,-110,-2.5,-110,219.5,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",NY,NY vs. BOS,BOS,138,134,nba.g.2021102018
101,BetMGM,115,-140,2.5,-110,-2.5,-110,219.5,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",NY,NY vs. BOS,BOS,138,134,nba.g.2021102018
99,"Stats, LLC",120,-140,2.5,-110,-2.5,-110,219.5,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",BOS,BOS @ NY,NY,134,138,nba.g.2021102018
101,BetMGM,115,-140,2.5,-110,-2.5,-110,219.5,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",BOS,BOS @ NY,NY,134,138,nba.g.2021102018
99,"Stats, LLC",115,-135,2.5,-115,-2.5,-105,223,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",TOR,TOR vs. WAS,WAS,83,98,nba.g.2021102028
101,BetMGM,115,-140,2.5,-110,-2.5,-110,223.5,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",TOR,TOR vs. WAS,WAS,83,98,nba.g.2021102028
99,"Stats, LLC",115,-135,2.5,-115,-2.5,-105,223,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",WAS,WAS @ TOR,TOR,98,83,nba.g.2021102028
101,BetMGM,115,-140,2.5,-110,-2.5,-110,223.5,-110,-110,2021-10-20,"Wed, 20 Oct 2021 23:30:00 +0000",WAS,WAS @ TOR,TOR,98,83,nba.g.2021102028
99,"Stats, LLC",-170,145,-3.5,-115,3.5,-105,224,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",NO,NO vs. PHI,PHI,97,117,nba.g.2021102003
101,BetMGM,-160,135,-3.5,-110,3.5,-110,224.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",NO,NO vs. PHI,PHI,97,117,nba.g.2021102003
99,"Stats, LLC",-170,145,-3.5,-115,3.5,-105,224,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",PHI,PHI @ NO,NO,117,97,nba.g.2021102003
101,BetMGM,-160,135,-3.5,-110,3.5,-110,224.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",PHI,PHI @ NO,NO,117,97,nba.g.2021102003
99,"Stats, LLC",205,-255,6.5,-110,-6.5,-110,232,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",MIN,MIN vs. HOU,HOU,124,106,nba.g.2021102016
101,BetMGM,220,-275,6.5,-110,-6.5,-110,232.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",MIN,MIN vs. HOU,HOU,124,106,nba.g.2021102016
99,"Stats, LLC",205,-255,6.5,-110,-6.5,-110,232,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",HOU,HOU @ MIN,MIN,106,124,nba.g.2021102016
101,BetMGM,220,-275,6.5,-110,-6.5,-110,232.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",HOU,HOU @ MIN,MIN,106,124,nba.g.2021102016
99,"Stats, LLC",235,-290,7,-110,-7,-110,218.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",MEM,MEM vs. CLE,CLE,132,121,nba.g.2021102029
101,BetMGM,240,-300,7,-110,-7,-110,217.5,-120,100,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",MEM,MEM vs. CLE,CLE,132,121,nba.g.2021102029
99,"Stats, LLC",235,-290,7,-110,-7,-110,218.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",CLE,CLE @ MEM,MEM,121,132,nba.g.2021102029
101,BetMGM,240,-300,7,-110,-7,-110,217.5,-120,100,2021-10-20,"Thu, 21 Oct 2021 00:00:00 +0000",CLE,CLE @ MEM,MEM,121,132,nba.g.2021102029
99,"Stats, LLC",225,-275,7,-110,-7,-110,212.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:30:00 +0000",SA,SA vs. ORL,ORL,123,97,nba.g.2021102024
101,BetMGM,230,-275,7,-110,-7,-110,212.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:30:00 +0000",SA,SA vs. ORL,ORL,123,97,nba.g.2021102024
99,"Stats, LLC",225,-275,7,-110,-7,-110,212.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:30:00 +0000",ORL,ORL @ SA,SA,97,123,nba.g.2021102024
101,BetMGM,230,-275,7,-110,-7,-110,212.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 00:30:00 +0000",ORL,ORL @ SA,SA,97,123,nba.g.2021102024
99,"Stats, LLC",755,-1110,14,-110,-14,-110,221.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 01:00:00 +0000",UTA,UTA vs. OKC,OKC,107,86,nba.g.2021102026
101,BetMGM,600,-900,13.5,-110,-13.5,-110,221,-110,-110,2021-10-20,"Thu, 21 Oct 2021 01:00:00 +0000",UTA,UTA vs. OKC,OKC,107,86,nba.g.2021102026
99,"Stats, LLC",755,-1110,14,-110,-14,-110,221.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 01:00:00 +0000",OKC,OKC @ UTA,UTA,86,107,nba.g.2021102026
101,BetMGM,600,-900,13.5,-110,-13.5,-110,221,-110,-110,2021-10-20,"Thu, 21 Oct 2021 01:00:00 +0000",OKC,OKC @ UTA,UTA,86,107,nba.g.2021102026
99,"Stats, LLC",195,-245,6,-110,-6,-110,224,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",PHO,PHO vs. DEN,DEN,98,110,nba.g.2021102021
101,BetMGM,195,-250,6,-110,-6,-110,224,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",PHO,PHO vs. DEN,DEN,98,110,nba.g.2021102021
99,"Stats, LLC",195,-245,6,-110,-6,-110,224,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",DEN,DEN @ PHO,PHO,110,98,nba.g.2021102021
101,BetMGM,195,-250,6,-110,-6,-110,224,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",DEN,DEN @ PHO,PHO,110,98,nba.g.2021102021
99,"Stats, LLC",210,-260,6.5,-110,-6.5,-110,234,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",POR,POR vs. SAC,SAC,121,124,nba.g.2021102022
101,BetMGM,220,-275,6.5,-110,-6.5,-110,234.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",POR,POR vs. SAC,SAC,121,124,nba.g.2021102022
99,"Stats, LLC",210,-260,6.5,-110,-6.5,-110,234,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",SAC,SAC @ POR,POR,124,121,nba.g.2021102022
101,BetMGM,220,-275,6.5,-110,-6.5,-110,234.5,-110,-110,2021-10-20,"Thu, 21 Oct 2021 02:00:00 +0000",SAC,SAC @ POR,POR,124,121,nba.g.2021102022
99,"Stats, LLC",120,-140,2.5,-110,-2.5,-110,225.5,-110,-110,2021-10-21,"Thu, 21 Oct 2021 23:30:00 +0000",ATL,ATL vs. DAL,DAL,113,87,nba.g.2021102101
101,BetMGM,120,-145,2.5,-110,-2.5,-110,224.5,-110,-110,2021-10-21,"Thu, 21 Oct 2021 23:30:00 +0000",ATL,ATL vs. DAL,DAL,113,87,nba.g.2021102101
99,"Stats, LLC",120,-140,2.5,-110,-2.5,-110,225.5,-110,-110,2021-10-21,"Thu, 21 Oct 2021 23:30:00 +0000",DAL,DAL @ ATL,ATL,87,113,nba.g.2021102101
101,BetMGM,120,-145,2.5,-110,-2.5,-110,224.5,-110,-110,2021-10-21,"Thu, 21 Oct 2021 23:30:00 +0000",DAL,DAL @ ATL,ATL,87,113,nba.g.2021102101
