,book_name,away_ml,home_ml,away_spread,away_line,home_spread,home_line,total,over_line,under_line,date,date_full,team,matchup,opp,points,points_opp,gid
24,5dimes.eu,175,-210,4.5,-110,-4.5,-110,211,-110,-110,2018-10-16,"Wed, 17 Oct 2018 00:00:00 +0000",BOS,BOS vs. PHI,PHI,105,87,nba.g.2018101602
25,BOVADA.LV,190,-230,5.5,-110,-5.5,-110,212,-105,-115,2018-10-16,"Wed, 17 Oct 2018 00:00:00 +0000",BOS,BOS vs. PHI,PHI,105,87,nba.g.2018101602
31,GTBETS.EU,175,-211,4.5,-106,-4.5,-112,211,-108,-109,2018-10-16,"Wed, 17 Oct 2018 00:00:00 +0000",BOS,BOS vs. PHI,PHI,105,87,nba.g.2018101602
24,5dimes.eu,175,-210,4.5,-110,-4.5,-110,211,-110,-110,2018-10-16,"Wed, 17 Oct 2018 00:00:00 +0000",PHI,PHI @ BOS,BOS,87,105,nba.g.2018101602
25,BOVADA.LV,190,-230,5.5,-110,-5.5,-110,212,-105,-115,2018-10-16,"Wed, 17 Oct 2018 00:00:00 +0000",PHI,PHI @ BOS,BOS,87,105,nba.g.2018101602
31,GTBETS.EU,175,-211,4.5,-106,-4.5,-112,211,-108,-109,2018-10-16,"Wed, 17 Oct 2018 00:00:00 +0000",PHI,PHI @ BOS,BOS,87,105,nba.g.2018101602
24,5dimes.eu,725,-925,12.5,-104,-12.5,-106,219,-105,-105,2018-10-16,"Wed, 17 Oct 2018 02:30:00 +0000",GS,GS vs. OKC,OKC,108,100,nba.g.2018101609
25,BOVADA.LV,650,-1100,13.5,-115,-13.5,-105,220,-110,-110,2018-10-16,"Wed, 17 Oct 2018 02:30:00 +0000",GS,GS vs. OKC,OKC,108,100,nba.g.2018101609
31,GTBETS.EU,-110,-110,12.5,-106,-12.5,-112,219,-111,-108,2018-10-16,"Wed, 17 Oct 2018 02:30:00 +0000",GS,GS vs. OKC,OKC,108,100,nba.g.2018101609
24,5dimes.eu,725,-925,12.5,-104,-12.5,-106,219,-105,-105,2018-10-16,"Wed, 17 Oct 2018 02:30:00 +0000",OKC,OKC @ GS,GS,100,108,nba.g.2018101609
25,BOVADA.LV,650,-1100,13.5,-115,-13.5,-105,220,-110,-110,2018-10-16,"Wed, 17 Oct 2018 02:30:00 +0000",OKC,OKC @ GS,GS,100,108,nba.g.2018101609
31,GTBETS.EU,-110,-110,12.5,-106,-12.5,-112,219,-111,-108,2018-10-16,"Wed, 17 Oct 2018 02:30:00 +0000",OKC,OKC @ GS,GS,100,108,nba.g.2018101609
24,5dimes.eu,200,-220,6,-108,-6,-102,212.5,-105,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",DET,DET vs. BKN,BKN,103,100,nba.g.2018101708
25,BOVADA.LV,215,-255,6.5,-110,-6.5,-110,212,-115,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",DET,DET vs. BKN,BKN,103,100,nba.g.2018101708
31,GTBETS.EU,212,-256,6,-108,-6,-110,212,-109,-109,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",DET,DET vs. BKN,BKN,103,100,nba.g.2018101708
24,5dimes.eu,200,-220,6,-108,-6,-102,212.5,-105,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",BKN,BKN @ DET,DET,100,103,nba.g.2018101708
25,BOVADA.LV,215,-255,6.5,-110,-6.5,-110,212,-115,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",BKN,BKN @ DET,DET,100,103,nba.g.2018101708
31,GTBETS.EU,212,-256,6,-108,-6,-110,212,-109,-109,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",BKN,BKN @ DET,DET,100,103,nba.g.2018101708
24,5dimes.eu,260,-290,7.5,-107,-7.5,-103,204.5,-105,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",IND,IND vs. MEM,MEM,111,83,nba.g.2018101711
25,BOVADA.LV,255,-310,7.5,-110,-7.5,-110,205,-105,-115,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",IND,IND vs. MEM,MEM,111,83,nba.g.2018101711
31,GTBETS.EU,251,-302,7.5,-111,-7.5,-107,204.5,-110,-109,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",IND,IND vs. MEM,MEM,111,83,nba.g.2018101711
24,5dimes.eu,260,-290,7.5,-107,-7.5,-103,204.5,-105,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MEM,MEM @ IND,IND,83,111,nba.g.2018101711
25,BOVADA.LV,255,-310,7.5,-110,-7.5,-110,205,-105,-115,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MEM,MEM @ IND,IND,83,111,nba.g.2018101711
31,GTBETS.EU,251,-302,7.5,-111,-7.5,-107,204.5,-110,-109,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MEM,MEM @ IND,IND,83,111,nba.g.2018101711
24,5dimes.eu,-130,120,-2.5,-103,2.5,-107,209,-105,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",ORL,ORL vs. MIA,MIA,104,101,nba.g.2018101719
25,BOVADA.LV,-130,110,-2.5,-105,2.5,-115,208,-110,-110,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",ORL,ORL vs. MIA,MIA,104,101,nba.g.2018101719
31,GTBETS.EU,-135,115,-2,-112,2,-106,209,-108,-111,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",ORL,ORL vs. MIA,MIA,104,101,nba.g.2018101719
24,5dimes.eu,-130,120,-2.5,-103,2.5,-107,209,-105,-105,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MIA,MIA @ ORL,ORL,101,104,nba.g.2018101719
25,BOVADA.LV,-130,110,-2.5,-105,2.5,-115,208,-110,-110,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MIA,MIA @ ORL,ORL,101,104,nba.g.2018101719
31,GTBETS.EU,-135,115,-2,-112,2,-106,209,-108,-111,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MIA,MIA @ ORL,ORL,101,104,nba.g.2018101719
24,5dimes.eu,-155,145,-3.5,-108,3.5,-102,222,-108,-102,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",CHA,CHA vs. MIL,MIL,112,113,nba.g.2018101730
25,BOVADA.LV,-170,150,-4,-110,4,-110,222,-110,-110,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",CHA,CHA vs. MIL,MIL,112,113,nba.g.2018101730
31,GTBETS.EU,-162,140,-3.5,-108,3.5,-110,222,-109,-109,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",CHA,CHA vs. MIL,MIL,112,113,nba.g.2018101730
24,5dimes.eu,-155,145,-3.5,-108,3.5,-102,222,-108,-102,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MIL,MIL @ CHA,CHA,113,112,nba.g.2018101730
25,BOVADA.LV,-170,150,-4,-110,4,-110,222,-110,-110,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MIL,MIL @ CHA,CHA,113,112,nba.g.2018101730
31,GTBETS.EU,-162,140,-3.5,-108,3.5,-110,222,-109,-109,2018-10-17,"Wed, 17 Oct 2018 23:00:00 +0000",MIL,MIL @ CHA,CHA,113,112,nba.g.2018101730
24,5dimes.eu,150,-160,4,-105,-4,-105,217,-103,-107,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",NY,NY vs. ATL,ATL,126,107,nba.g.2018101718
25,BOVADA.LV,150,-170,3.5,-105,-3.5,-115,217,-110,-110,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",NY,NY vs. ATL,ATL,126,107,nba.g.2018101718
31,GTBETS.EU,-110,-110,4,-110,-4,-108,217,-110,-109,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",NY,NY vs. ATL,ATL,126,107,nba.g.2018101718
24,5dimes.eu,150,-160,4,-105,-4,-105,217,-103,-107,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",ATL,ATL @ NY,NY,107,126,nba.g.2018101718
25,BOVADA.LV,150,-170,3.5,-105,-3.5,-115,217,-110,-110,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",ATL,ATL @ NY,NY,107,126,nba.g.2018101718
31,GTBETS.EU,-110,-110,4,-110,-4,-108,217,-110,-109,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",ATL,ATL @ NY,NY,107,126,nba.g.2018101718
24,5dimes.eu,800,-1000,12.5,-103,-12.5,-107,215,-108,-102,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",TOR,TOR vs. CLE,CLE,116,104,nba.g.2018101728
25,BOVADA.LV,650,-1100,12.5,-110,-12.5,-110,215,-115,-105,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",TOR,TOR vs. CLE,CLE,116,104,nba.g.2018101728
31,GTBETS.EU,-110,-110,13,-113,-13,-105,215,-109,-107,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",TOR,TOR vs. CLE,CLE,116,104,nba.g.2018101728
24,5dimes.eu,800,-1000,12.5,-103,-12.5,-107,215,-108,-102,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",CLE,CLE @ TOR,TOR,104,116,nba.g.2018101728
25,BOVADA.LV,650,-1100,12.5,-110,-12.5,-110,215,-115,-105,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",CLE,CLE @ TOR,TOR,104,116,nba.g.2018101728
31,GTBETS.EU,-110,-110,13,-113,-13,-105,215,-109,-107,2018-10-17,"Wed, 17 Oct 2018 23:30:00 +0000",CLE,CLE @ TOR,TOR,104,116,nba.g.2018101728
24,5dimes.eu,290,-320,8,-105,-8,-105,232,-105,-105,2018-10-17,"Thu, 18 Oct 2018 00:00:00 +0000",HOU,HOU vs. NO,NO,112,131,nba.g.2018101710
25,BOVADA.LV,280,-360,8,-105,-8,-115,232,-105,-115,2018-10-17,"Thu, 18 Oct 2018 00:00:00 +0000",HOU,HOU vs. NO,NO,112,131,nba.g.2018101710
31,GTBETS.EU,-110,-110,8,-109,-8,-107,232,-110,-108,2018-10-17,"Thu, 18 Oct 2018 00:00:00 +0000",HOU,HOU vs. NO,NO,112,131,nba.g.2018101710
24,5dimes.eu,290,-320,8,-105,-8,-105,232,-105,-105,2018-10-17,"Thu, 18 Oct 2018 00:00:00 +0000",NO,NO @ HOU,HOU,131,112,nba.g.2018101710
25,BOVADA.LV,280,-360,8,-105,-8,-115,232,-105,-115,2018-10-17,"Thu, 18 Oct 2018 00:00:00 +0000",NO,NO @ HOU,HOU,131,112,nba.g.2018101710
31,GTBETS.EU,-110,-110,8,-109,-8,-107,232,-110,-108,2018-10-17,"Thu, 18 Oct 2018 00:00:00 +0000",NO,NO @ HOU,HOU,131,112,nba.g.2018101710
24,5dimes.eu,125,-135,2.5,-106,-2.5,-104,212,-105,-105,2018-10-17,"Thu, 18 Oct 2018 00:30:00 +0000",SA,SA vs. MIN,MIN,112,108,nba.g.2018101724
25,BOVADA.LV,120,-140,3,-110,-3,-110,212,-110,-110,2018-10-17,"Thu, 18 Oct 2018 00:30:00 +0000",SA,SA vs. MIN,MIN,112,108,nba.g.2018101724
31,GTBETS.EU,-110,-110,2.5,-108,-2.5,-110,212,-108,-110,2018-10-17,"Thu, 18 Oct 2018 00:30:00 +0000",SA,SA vs. MIN,MIN,112,108,nba.g.2018101724
24,5dimes.eu,125,-135,2.5,-106,-2.5,-104,212,-105,-105,2018-10-17,"Thu, 18 Oct 2018 00:30:00 +0000",MIN,MIN @ SA,SA,108,112,nba.g.2018101724
25,BOVADA.LV,120,-140,3,-110,-3,-110,212,-110,-110,2018-10-17,"Thu, 18 Oct 2018 00:30:00 +0000",MIN,MIN @ SA,SA,108,112,nba.g.2018101724
